0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
95.31,93.08,84.92,83.63,85.03,84.26,83.61,82.25,80.68,60.7,61.5,50.02,52.78,52.06,52.35,54.07,53.29,55.21,55.66,55.69,57.07,57.9,60.53,59.88,57.44,59.82,59.94,60.71,59.03,57.37,56.45,54.22,52.02,51.47,51.18,52.07,52.43,49.96,52.95,52.09,52.07,48.27,51.14,51.27,52.97,53.95,55.07,54.69,50.03,51.26,52.14,54.16,52.05,50.18,51.01,45.72,47.13,45.54,42.99,44.21,41.91,40.01,39.71,41.78,41.81,39.92,40.51,41.48,39.98,38.17,40.01,42.0,43.85,44.48,51.28,54.23,60.47,63.61,62.46,60.77,55.32,55.75,55.19,55.36,53.87,56.19,49.8,46.42,43.33,45.47,45.22,47.39,48.5,46.11,46.23,47.75,44.24,44.73,46.22,51.71,52.94,54.52,48.96,48.81,48.56,48.42,46.38,41.75,39.96
73.96,76.53,67.34,73.91,76.17,71.74,71.06,69.6,74.09,75.83,76.06,80.15,80.4,80.67,81.65,82.48,73.97,72.27,71.17,72.51,71.53,73.45,71.59,71.07,71.54,62.16,62.76,61.44,63.95,66.76,65.36,67.7,66.99,64.98,53.63,55.66,55.63,56.72,56.7,58.14,56.28,57.34,56.19,55.79,57.83,58.71,56.88,54.71,49.89,55.0,57.59,54.49,54.99,53.95,55.75,51.49,49.0,51.41,54.23,54.09,56.85,55.78,57.93,55.94,54.35,53.94,52.25,53.45,56.06,54.75,53.07,44.44,41.92,41.13,42.67,40.27,41.96,47.88,49.31,49.78,48.85,47.85,49.17,51.32,52.38,50.06,47.31,43.03,41.45,43.43,42.69,42.82,40.98,37.31,38.25,40.11,42.57,41.21,41.81,47.97,50.44,49.58,47.58,46.99,47.41,47.53,46.03,46.09,45.07
63.16,61.12,59.4,60.86,63.57,64.92,64.32,59.63,58.45,48.27,43.58,40.49,55.24,64.53,57.11,61.58,61.86,66.2,66.43,67.83,70.04,64.77,64.58,65.66,65.88,67.64,64.73,64.93,63.05,63.58,62.22,61.33,62.38,62.41,63.86,62.33,63.31,61.85,60.6,60.88,59.05,58.14,60.95,61.0,65.9,63.97,64.65,63.56,56.46,56.0,57.22,57.91,58.42,54.27,59.29,56.97,57.65,57.89,59.19,59.09,61.05,61.31,60.92,59.56,60.71,63.01,60.96,55.64,45.1,47.02,51.35,49.91,52.25,50.2,48.12,50.68,50.93,49.89,51.3,49.98,51.99,54.51,54.38,54.24,56.42,58.21,55.66,50.53,51.29,51.16,51.62,50.72,48.45,45.93,46.8,45.27,45.51,47.08,48.4,50.3,49.04,46.72,46.39,46.39,48.13,48.45,49.82,50.18,48.77
82.69,84.15,84.36,83.27,85.38,75.57,77.46,76.0,76.5,60.84,61.53,58.02,57.82,55.7,53.25,54.2,49.32,54.11,53.44,56.05,56.38,58.95,58.32,58.68,56.61,54.57,57.17,56.34,58.12,56.77,53.88,53.2,55.81,53.88,46.53,46.09,51.15,49.72,51.1,49.38,49.03,47.11,45.13,45.16,49.78,52.41,51.47,52.23,44.51,44.66,45.9,48.53,47.04,42.99,45.87,42.36,40.34,41.04,47.89,49.72,48.79,50.76,48.96,51.64,51.78,49.95,52.58,55.2,54.27,59.33,59.82,59.41,61.42,62.32,60.51,59.44,57.28,55.56,57.56,54.43,54.96,56.45,54.76,56.76,55.16,53.04,46.44,43.19,36.78,44.81,45.48,48.02,47.7,44.16,44.66,44.05,42.5,44.0,39.94,47.9,47.2,46.44,48.95,47.82,49.85,47.47,48.89,50.0,50.7
79.74,76.78,73.85,73.99,73.14,72.82,72.18,70.62,84.86,84.29,84.4,75.01,73.09,73.63,71.79,69.7,67.77,68.11,69.62,68.4,67.34,66.19,68.69,71.12,70.84,68.8,67.27,66.37,68.11,67.41,68.58,71.1,72.62,71.67,61.99,59.68,60.61,61.56,63.24,59.47,61.7,60.7,62.94,60.91,59.38,57.47,52.79,53.25,50.97,53.94,54.99,54.8,52.98,53.71,51.58,47.06,48.86,46.5,49.24,47.78,45.58,48.74,50.11,50.32,52.54,54.59,53.08,47.58,48.67,47.85,47.26,43.08,42.94,44.6,47.21,45.35,45.88,43.82,45.5,46.77,47.49,45.9,47.71,46.65,42.98,42.0,38.33,34.37,34.77,36.47,37.53,41.25,41.04,40.06,38.06,40.06,42.14,39.87,38.46,44.36,42.74,41.57,39.17,40.94,41.1,44.54,44.22,41.56,42.98
59.93,57.53,55.98,55.25,54.05,51.81,54.43,52.28,53.72,51.16,48.72,50.5,54.93,53.71,53.98,53.3,58.07,62.11,57.3,58.55,60.62,60.12,58.45,57.51,57.88,55.55,53.06,47.79,52.27,51.76,49.83,51.76,51.51,48.99,43.8,45.61,48.39,49.87,50.26,45.75,45.81,45.33,43.47,45.81,47.18,48.65,45.91,44.55,43.7,43.2,41.4,40.78,43.01,40.23,42.0,39.29,39.61,41.09,40.96,41.32,42.57,42.48,40.81,39.72,41.18,41.39,42.87,41.18,40.58,42.56,42.7,44.95,46.14,48.47,47.39,46.68,34.52,34.31,35.12,34.01,35.82,37.63,39.95,38.32,38.02,38.28,36.43,33.45,31.67,33.88,34.25,33.85,34.07,33.19,34.46,34.57,36.89,34.74,34.96,39.13,37.58,39.55,38.3,40.65,40.87,40.25,39.79,39.55,41.88
61.9,61.81,60.76,62.84,63.8,61.64,63.72,64.13,65.0,68.02,63.34,62.1,60.54,61.79,61.92,60.17,60.3,62.75,64.78,63.76,64.41,65.52,63.6,65.55,65.56,59.47,57.74,60.29,58.64,57.64,52.66,52.66,54.17,52.56,45.68,43.72,42.16,47.19,49.54,49.06,48.77,50.82,49.1,49.3,47.96,49.2,47.42,49.75,45.05,50.79,51.13,50.98,49.12,47.05,44.99,40.57,41.36,43.73,47.98,47.33,47.22,51.11,51.68,50.97,51.99,53.88,56.01,58.33,65.08,69.02,69.35,70.35,69.53,70.71,71.81,69.81,70.48,68.94,66.77,66.37,66.28,66.14,64.78,62.65,60.39,60.27,57.13,48.74,47.54,53.01,54.38,55.54,53.67,50.3,49.37,52.97,52.74,53.4,52.75,52.0,53.56,53.79,56.21,56.61,55.32,54.2,56.51,54.64,53.2
85.19,79.95,80.78,82.37,82.09,83.2,67.47,66.9,70.95,52.56,51.24,53.03,53.3,54.4,55.83,52.14,47.23,48.99,51.37,49.76,48.95,49.4,48.69,47.29,44.92,45.33,46.23,48.23,49.65,50.79,49.76,51.83,51.17,51.03,48.42,53.17,54.33,56.26,57.23,59.74,60.61,60.64,59.17,62.73,63.62,61.63,63.17,64.34,60.8,62.28,63.03,61.14,59.61,56.05,59.18,58.08,59.93,61.51,62.49,61.69,60.61,62.03,64.18,64.12,61.57,60.06,61.74,63.29,61.74,64.46,64.29,64.53,64.97,67.17,66.5,65.46,66.15,70.33,68.96,67.24,67.77,69.49,67.54,66.94,67.31,65.57,64.22,56.68,50.14,48.83,50.13,49.3,51.52,48.03,46.29,45.96,45.44,45.56,45.27,57.49,52.54,54.42,46.76,44.29,44.91,45.8,47.38,49.25,47.16
54.44,50.57,47.75,47.92,46.67,46.58,50.94,48.62,46.74,50.3,60.02,61.02,65.78,63.31,61.41,46.42,44.59,46.41,46.38,48.14,46.64,46.13,48.76,50.25,49.96,51.16,52.6,54.58,60.09,58.01,57.9,56.43,57.94,60.26,54.81,55.59,55.93,57.03,57.6,54.1,56.57,56.45,56.67,58.29,56.67,58.63,58.77,60.26,56.65,59.21,59.08,58.88,59.71,59.58,58.15,54.02,49.26,49.29,49.15,50.85,52.98,52.33,50.3,50.16,51.82,51.09,53.72,52.02,54.28,53.19,55.28,49.34,48.73,46.85,49.38,51.9,50.08,51.59,51.49,50.12,51.02,51.86,44.36,45.88,46.83,43.96,46.27,35.14,35.27,37.01,35.33,37.46,38.67,37.82,39.21,36.84,41.53,46.06,42.74,40.6,42.47,42.49,43.41,44.6,42.57,42.22,44.21,42.05,42.29
69.67,67.57,65.53,63.31,64.12,67.9,60.05,59.17,58.08,56.82,58.55,58.92,56.98,68.03,61.35,58.9,59.56,59.15,58.81,57.52,55.57,57.91,57.87,55.88,57.13,55.61,53.69,57.87,57.71,51.79,49.37,49.33,46.81,49.33,46.83,46.23,47.24,48.23,48.26,48.85,48.36,50.74,53.37,56.33,60.32,61.41,59.93,57.69,49.39,49.43,49.99,52.72,54.22,56.23,58.32,52.76,55.27,57.75,59.48,61.34,64.17,65.09,65.94,65.08,63.06,65.39,66.41,64.95,66.17,65.18,63.28,64.33,61.3,61.24,60.3,65.85,60.93,58.23,59.25,60.44,60.65,59.17,57.18,58.62,56.36,56.9,52.69,45.2,46.27,54.94,53.41,56.89,57.88,58.59,58.93,59.36,61.41,61.71,57.99,64.05,53.64,54.11,51.62,51.17,52.83,50.58,50.79,52.74,53.17
